id,work_siglum,short_code
9,Misc,msc
10,Air,45
11,Amic,132
12,Anniv,48
13,Annun,183
14,Antiq,93
15,Appar,28
16,Bait,27
17,BB,126
18,BedfCab,147
19,BedfDead,143
20,BedfHon,136
21,BedfReas,134
22,BedfRef,137
23,BedfShe,148
24,BedfTwi,139
25,BedfWrit,138
26,Beggar,88
27,blank,prose
28,Blos,68
29,BoulNar,151
30,BoulRec,150
31,Break,46
32,Broken,29
33,Cales,91
34,Calm,110
35,Canon,39
36,Carey,142
37,CB,120
38,Christ,190
39,Citizen,000
40,Commun,53
41,Compu,76
42,ConfL,56
43,Cor1,160a
44,Cor2,160b
45,Cor3,160c
46,Cor4,160d
47,Cor5,160e
48,Cor6,160f
49,Cor7,160g
51,Coryat,6
52,Cross,181
53,Curse,61
54,Damp,71
55,Disinher,94
56,Dissol,72
57,Dream,57
58,Eclog,108
59,Ecst,62
60,ED,161
61,EdHerb,140
62,EG,121
63,ElAnag,17
64,ElAut,50
65,ElBed,15
66,ElBrac,8
68,ElChange,16
69,ElComp,9
70,ElExpost,22
71,ElFatal,18
72,ElJeal,11
73,ElNat,13
74,ElPart,21
75,ElPerf,10
77,ElPict,19
78,ElProg,20
79,ElServe,12
80,ElVar,23
81,ElWar,14
82,EpEliz,107
83,EpLin,106
84,EtAD,197
85,Expir,75
86,Fare,79
87,Father,193
88,Fever,44
89,FirAn,155
90,Flea,60
91,Fun,67
92,FunEl,156
93,Gaz,188
94,Gherb,186
95,Goodf,185
96,GoodM,32
97,Ham,154
100,HamLtr,154prose
101,Har,153
103,Harb,157!
104,HarLtr,153b
105,Henry,152
106,Hero,83
107,HG,130
109,HSBatter,171
110,HSBlack,163
111,HSDeath,167
112,HSDue,162
113,HSLittle,175
114,HSMade,174
115,HSMin,166
117,HSPart,173
119,HSRound,165
120,HSScene,164
121,HSShe,178
122,HSShow,179
124,HSSighs,176
125,HSSouls,177
126,HSSpit,168
127,HSVex,180
128,HSWhat,170
129,HSWhy,169
130,HSWilt,172
131,HuntMan,141
132,HuntUn,131
133,HWKiss,112
134,HWNews,111
135,HWVenice,129
136,ILBlest,127
137,ILRoll,125
138,Image,35
139,Ind,37
140,Jet,73
141,Jug,101
142,Julia,000
143,Klock,99
144,Lam,187
145,Lect,30
146,Leg,43
147,Liar,95
148,Libro,144
149,Licent,90
150,Lit,184
151,LovAlch,59
153,LovDeity,64
154,LovDiet,65
156,LovExch,55
157,LovGrow,54
158,LovInf,41
159,LovUsury,38
160,Mark,149
161,Martial,103
162,Merc,96
163,Mess,25
164,Metem,158
165,MetemLtr,158b
166,MHPaper,133
167,NegLov,74
168,Niobe,85
169,Noct,82
170,noncan,!
171,Para,77
172,Philo,98
173,Phrine,97
174,Praise,155!
175,Prim,69
176,Prohib,47
177,prose,prose
178,Pyr,84
179,Ralph,100
180,Relic,70
181,Res,182
182,RWEnvy,123
183,RWMind,119
184,RWSlumb,122
185,RWThird,113
186,RWZeal,118
187,Sal,145
188,Sappho,24
189,Sat1,1
190,Sat2,2
191,Sat3,3
192,Sat4,4
193,Sat5,5
194,SB,124
195,SecAn,157
196,SelfAc,89
197,SelfL,80
198,SGo,33
199,Ship,86
200,Sickness,192
201,Sidney,191
202,Sorrow,146
204,SSweet,42
205,Storm,109
206,SunRis,36
207,Tilman,189
208,Token,78
209,Triple,40
210,TWHail,114
211,TWHarsh,115
212,TWHence,117
213,Twick,51
214,TWPreg,116
215,Under,63
216,ValBook,52
217,ValMourn,31
218,ValName,49
219,ValWeep,58
220,Wall,87
221,Will,66
222,Wing,92
223,Witch,26
225,WomCon,34
226,MiscErr,prose
